drug1,drug2,drug_pair,total_reports,serious_reports,death_reports,hosp_reports,severity_score,death_score,hosp_score,top_reactions,severity,label,source
adcirca,letairis,adcirca + letairis,177,343,0,11,1.9379,0.0,0.0621,dyspnoea|headache|nasopharyngitis|malaise|cough,HIGH,2,FDA FAERS
letairis,revatio,letairis + revatio,145,285,1,2,1.9655,0.0069,0.0138,dyspnoea|cough|dizziness|nasopharyngitis|headache,HIGH,2,FDA FAERS
letairis,tyvaso,letairis + tyvaso,133,260,0,3,1.9549,0.0,0.0226,cough|headache|dizziness|nasopharyngitis|dyspnoea,HIGH,2,FDA FAERS
letairis,remodulin,letairis + remodulin,60,116,0,4,1.9333,0.0,0.0667,unevaluable event|pain|malaise|diarrhoea|dizziness,HIGH,2,FDA FAERS
adcirca,tyvaso,adcirca + tyvaso,49,95,0,3,1.9388,0.0,0.0612,cough|nasopharyngitis|headache|malaise|fatigue,HIGH,2,FDA FAERS
dabigatran,dronedarone,dabigatran + dronedarone,43,43,0,37,1.0,0.0,0.8605,drug interaction|gastrointestinal haemorrhage|haemorrhage|rectal haemorrhage|melaena,HIGH,2,FDA FAERS
revatio,tyvaso,revatio + tyvaso,30,57,0,1,1.9,0.0,0.0333,cough|throat irritation|nasopharyngitis|headache|dyspnoea,HIGH,2,FDA FAERS
aspirin,jakafi,aspirin + jakafi,26,45,1,2,1.7308,0.0385,0.0769,rash|headache|nausea|blood count abnormal|platelet count decreased,HIGH,2,FDA FAERS
letairis,ventavis,letairis + ventavis,25,49,0,1,1.96,0.0,0.04,dyspnoea|dizziness|cough|headache|nasopharyngitis,HIGH,2,FDA FAERS
acetaminophen,diphenhydramine,acetaminophen + diphenhydramine,17,17,15,0,1.0,0.8824,0.0,disease progression|neurological decompensation|dizziness|bronchopulmonary aspergillosis|aggression,MODERATE,1,FDA FAERS
holoxan,rituximab,holoxan + rituximab,15,15,15,0,1.0,1.0,0.0,disease progression|neurological decompensation|bronchopulmonary aspergillosis,MODERATE,1,FDA FAERS
diphenhydramine,rituximab,diphenhydramine + rituximab,15,15,15,0,1.0,1.0,0.0,disease progression|neurological decompensation|bronchopulmonary aspergillosis,MODERATE,1,FDA FAERS
diphenhydramine,holoxan,diphenhydramine + holoxan,15,15,15,0,1.0,1.0,0.0,disease progression|neurological decompensation|bronchopulmonary aspergillosis,MODERATE,1,FDA FAERS
acetaminophen,rituximab,acetaminophen + rituximab,15,15,15,0,1.0,1.0,0.0,disease progression|neurological decompensation|bronchopulmonary aspergillosis,MODERATE,1,FDA FAERS
remodulin,revatio,remodulin + revatio,15,29,0,1,1.9333,0.0,0.0667,upper respiratory tract infection|drug dose omission|sinusitis|nasopharyngitis|pruritus,MODERATE,1,FDA FAERS
acetaminophen,holoxan,acetaminophen + holoxan,15,15,15,0,1.0,1.0,0.0,disease progression|neurological decompensation|bronchopulmonary aspergillosis,MODERATE,1,FDA FAERS
rituximab,uromitexan,rituximab + uromitexan,15,15,15,0,1.0,1.0,0.0,disease progression|neurological decompensation|bronchopulmonary aspergillosis,MODERATE,1,FDA FAERS
avonex,tysabri,avonex + tysabri,15,27,0,2,1.8,0.0,0.1333,malaise|multiple sclerosis|urinary tract infection|headache|colon cancer,MODERATE,1,FDA FAERS
etoposide,rituximab,etoposide + rituximab,15,15,15,0,1.0,1.0,0.0,disease progression|neurological decompensation|bronchopulmonary aspergillosis,MODERATE,1,FDA FAERS
holoxan,uromitexan,holoxan + uromitexan,15,15,15,0,1.0,1.0,0.0,disease progression|neurological decompensation|bronchopulmonary aspergillosis,MODERATE,1,FDA FAERS
acetaminophen,uromitexan,acetaminophen + uromitexan,15,15,15,0,1.0,1.0,0.0,disease progression|neurological decompensation|bronchopulmonary aspergillosis,MODERATE,1,FDA FAERS
diphenhydramine,etoposide,diphenhydramine + etoposide,15,15,15,0,1.0,1.0,0.0,disease progression|neurological decompensation|bronchopulmonary aspergillosis,MODERATE,1,FDA FAERS
etoposide,holoxan,etoposide + holoxan,15,15,15,0,1.0,1.0,0.0,disease progression|neurological decompensation|bronchopulmonary aspergillosis,MODERATE,1,FDA FAERS
acetaminophen,etoposide,acetaminophen + etoposide,15,15,15,0,1.0,1.0,0.0,disease progression|neurological decompensation|bronchopulmonary aspergillosis,MODERATE,1,FDA FAERS
etoposide,uromitexan,etoposide + uromitexan,15,15,15,0,1.0,1.0,0.0,disease progression|neurological decompensation|bronchopulmonary aspergillosis,MODERATE,1,FDA FAERS
allopurinol,jakafi,allopurinol + jakafi,15,23,1,0,1.5333,0.0667,0.0,diarrhoea|platelet count decreased|headache|weight increased|stem cell transplant,MODERATE,1,FDA FAERS
diphenhydramine,uromitexan,diphenhydramine + uromitexan,15,15,15,0,1.0,1.0,0.0,disease progression|neurological decompensation|bronchopulmonary aspergillosis,MODERATE,1,FDA FAERS
adcirca,remodulin,adcirca + remodulin,14,26,0,2,1.8571,0.0,0.1429,unevaluable event|medical device complication|malaise|cardiac failure congestive|heart rate increased,MODERATE,1,FDA FAERS
epoprostenol,letairis,epoprostenol + letairis,14,28,0,0,2.0,0.0,0.0,headache|pain in jaw|decreased appetite|diarrhoea|dizziness,MODERATE,1,FDA FAERS
coumadin,letairis,coumadin + letairis,14,24,0,3,1.7143,0.0,0.2143,fluid retention|oedema peripheral|migraine|headache|nasopharyngitis,MODERATE,1,FDA FAERS
aspirin,lisinopril,aspirin + lisinopril,14,15,2,7,1.0714,0.1429,0.5,weight increased|cerebrovascular accident|withdrawal syndrome|loss of consciousness|dehydration,MODERATE,1,FDA FAERS
